error--http://big5.www.gov.cn/gate/big5/www.gov.cn/  http://big5.www.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565052_109116.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565052_109118.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565052_109120.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/9/27/art_1229565052_110869.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/11/19/art_1229565052_115847.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229565052/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565053_131875.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565053_131876.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565053_131877.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565053_131878.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565053_131879.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565053_131880.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565053_131881.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565053_131882.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565053_131883.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565053_131884.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229565053/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565054_131908.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565054_131909.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565054_131910.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565054_131911.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565054_131912.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565054_131913.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2022/5/26/art_1229487170_59022862.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2022/5/18/art_1229487170_59022791.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2022/3/30/art_1229487170_59021981.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2022/3/23/art_1229487170_59014696.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229487170/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2022/1/29/art_1229003249_59013492.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229003249/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/module/download/downfile.jsp?classid=-1&filename=2205301359188527567.doc  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/module/download/downfile.jsp?classid=-1&filename=2205251434179026406.pdf  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://wsbs.snaic.gov.cn/bszn!ywbl.action?bszn.fwbm=4  http://wsbs.snaic.gov.cn
getaddrinfo ENOTFOUND wsbs.snaic.gov.cn
error--http://1.85.55.226/fwzx/cyfw/index.chtml  http://1.85.55.226
read ECONNRESET
error--http://1.85.55.226/fwzx/pxfw/pxfw.chtml?trainType=10301  http://1.85.55.226
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229047334/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zxts.zjzwfw.gov.cn/sun/satisfaction?city=&area=&page=xjgk&areacode=330000&cxbz=1&gkbz=1&bt=  http://zxts.zjzwfw.gov.cn
read ECONNRESET
error--http://zxts.zjzwfw.gov.cn/wsdt.do?method=sunshine&areacode=330000  http://zxts.zjzwfw.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1228969890/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229562649/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229562652/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229562657/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229562669/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229562684/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565054_131914.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565054_131915.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565054_131916.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/8/30/art_1229565054_131917.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1229565054/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/12/15/art_1229003062_59011993.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/art/2021/11/1/art_1229003062_59010554.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zjamr.zj.gov.cn/col/col1228969890/index.html  http://zjamr.zj.gov.cn
read ECONNRESET
error--http://zxts.zjzwfw.gov.cn/wsdt.do?method=writes-start&zj=0&formid=2014101416993386895&xjlb=0&type=1  http://zxts.zjzwfw.gov.cn
read ECONNRESET
error--http://www.gov.cn/xinwen/2020-03/27/content_5496132.htm  http://www.gov.cn
read ECONNRESET
error--http://1.85.55.226/fwzx/jrfw/index.chtml  http://1.85.55.226
read ECONNRESET
error--http://www.cpbz.gov.cn/  http://www.cpbz.gov.cn
connect ETIMEDOUT 111.111.111.111:80
error--https://www.12309.gov.cn/12309/gj/cq/index.shtml  https://www.12309.gov.cn
read ECONNRESET
error--https://www.spp.gov.cn/spp/flfgk/index.shtml  https://www.spp.gov.cn
read ECONNRESET
error--https://jctz.12309.gov.cn/  https://jctz.12309.gov.cn
Client network socket disconnected before secure TLS connection was established
error--https://www.spp.gov.cn/spp/fdbnlqhxzc/index.shtml  https://www.spp.gov.cn
read ECONNRESET
error--https://www.spp.gov.cn/spp/dsxxjy/index.shtml  https://www.spp.gov.cn
read ECONNRESET
error--https://www.spp.gov.cn/spp/xxgcxjpfzsx/index.shtml  https://www.spp.gov.cn
read ECONNRESET
error--https://www.spp.gov.cn/spp/xxgcddsjjlzqhjs/xxsjjlzqh.shtml  https://www.spp.gov.cn
read ECONNRESET
error--https://www.spp.gov.cn/spp/qgzfdwjyzd/index.shtml  https://www.spp.gov.cn
read ECONNRESET
error--http://www.spp.gov.cn/  http://www.spp.gov.cn
read ECONNRESET
error--http://www.cq.gov.cn/  http://www.cq.gov.cn
socket hang up
error--http://slt.hunan.gov.cn/slt/xxgk/slxw/index.html  http://slt.hunan.gov.cn
socket hang up
error--http://slt.hunan.gov.cn/slt/hnsw/xxgk_1/jggk/jgld_1/ldhd/index.html  http://slt.hunan.gov.cn
socket hang up
error--https://mp.weixin.qq.com/s/6pFqlhaGvCePOJ2cCQEClw  https://mp.weixin.qq.com
read ECONNRESET
error--https://mp.weixin.qq.com/s/pX8CCb1R-im0e8WT4Qbpqg  https://mp.weixin.qq.com
read ECONNRESET
error--https://mp.weixin.qq.com/s/ievi0uCt3oKkzaKMFXg6Bw  https://mp.weixin.qq.com
read ECONNRESET
error--https://mp.weixin.qq.com/s/Uw6_-IfyOabNEZnXhDIcYA  https://mp.weixin.qq.com
read ECONNRESET
error--https://mp.weixin.qq.com/s/HRS4qPmzIMKt1i1fcm_cmg  https://mp.weixin.qq.com
read ECONNRESET
error--https://mp.weixin.qq.com/s/1feLGN0fm-Qbc9p19jhTvg  https://mp.weixin.qq.com
read ECONNRESET
error--http://zxts.zjzwfw.gov.cn/  http://zxts.zjzwfw.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wzk/IPv6/202112/t20211220_3489443.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sjgk/ldbz/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sjgk/jgsz/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/jcgzbg/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/jwzn/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/xwfbh/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dxal/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/gyss/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/tzgg/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sjgk/ldbz/202111/t20211129_3448060.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/tpxw/202204/t20220419_3631447.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/tpxw/202111/t20211129_3446371.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/tpxw/202111/t20211129_3446370.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/tpxw/202111/t20211129_3446368.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyw/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/xxgcddsjjlzqhjs/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcdt/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcdt/202203/t20220324_3596691.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcdt/202203/t20220324_3596690.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dbwyll/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dbwyll/202204/t20220413_3624420.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dbwyll/202111/t20211129_3446384.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dbwyll/202111/t20211129_3446385.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dbwyll/202111/t20211129_3446386.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/tzgg/202203/t20220325_3597963.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/tzgg/202203/t20220325_3597885.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/gyss/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/gyss/202111/t20211129_3446540.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/gyss/202111/t20211129_3446539.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dxal/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dxal/202204/t20220412_3621703.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dxal/202204/t20220412_3621695.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dxal/202111/t20211129_3447026.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dxal/202111/t20211129_3447028.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/dxal/202111/t20211129_3447032.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/xwfbh/202111/t20211129_3447055.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/xwfbh/202111/t20211129_3447054.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/jcgzbg/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/jcgzbg/202111/t20211129_3447062.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/jcgzbg/202111/t20211129_3447063.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/jcgzbg/202111/t20211129_3447064.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/jcgzbg/202111/t20211129_3447077.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/yjsgk/202203/t20220325_3598139.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/yjsgk/202203/t20220325_3598138.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/yjsgk/202111/t20211129_3447105.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/jwzn/202111/t20211129_3447143.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/jwzn/202111/t20211129_3447142.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jwgk/jwzn/202111/t20211129_3447140.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/tp/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/dm/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/sp/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/tp/202111/t20211129_3447254.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/tp/202111/t20211129_3447251.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/tp/202111/t20211129_3447248.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/dm/202111/t20211129_3447255.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/dm/202111/t20211129_3447252.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/dm/202111/t20211129_3447249.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/jcyx/sp/202111/t20211129_3447250.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/yfy/beibei/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/yfy/yubei/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/yfy/hechuan/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/yfy/bishan/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/yfy/changshou/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/yfy/dazu/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/yfy/tongnan/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/efy/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/efy/wanzhou/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/efy/liangping/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/efy/zhongxian/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/efy/kaizhou/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/efy/yunyang/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/efy/wushan/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/efy/wuxi/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/efy/chengkou/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sanfy/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sanfy/fuling/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sanfy/nanchuan/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sanfy/dianjiang/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sanfy/fengdu/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sanfy/wulong/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sify/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sify/shizhu/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sify/pengshui/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sify/youyang/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sify/qianjiang/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/sify/xiushan/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wfy/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wfy/yuzhong/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wfy/nanan/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wfy/jiulongpo/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wfy/dadukou/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wfy/banan/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wfy/yongchuan/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wfy/jiangjin/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wfy/qijiang/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wfy/rongchang/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/cqliangjiang/  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wzk/lxwm/202111/t20211125_3443309.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wzk/lxwm/202111/t20211125_3443310.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.cq.jcy.gov.cn/wzk/lxwm/202111/t20211125_3443312.shtml  http://www.cq.jcy.gov.cn
read ECONNRESET
error--http://www.jcrb.com/  http://www.jcrb.com
read ECONNRESET
error--http://www.ccpc.cq.cn/  http://www.ccpc.cq.cn
socket hang up
error--http://www.bjtzh.gov.cn/bjtz/bsfw/index.shtml  http://www.bjtzh.gov.cn
read ECONNRESET
error--https://beian.miit.gov.cn/  https://beian.miit.gov.cn
read ECONNRESET
error--http://www.bjmy.gov.cn/index.html  http://www.bjmy.gov.cn
read ECONNRESET
error--http://www.bjmy.gov.cn/col/col19/index.html  http://www.bjmy.gov.cn
read ECONNRESET
error--http://www.bjmy.gov.cn/col/col28/index.html  http://www.bjmy.gov.cn
read ECONNRESET
error--http://www.bjmy.gov.cn/col/col10443/index.html  http://www.bjmy.gov.cn
read ECONNRESET
error--http://www.hanweb.com/  http://www.hanweb.com
read ECONNRESET
error--http://banshi.beijing.gov.cn/pubtask/grfw.html?locationCode=110115000000  http://banshi.beijing.gov.cn
read ECONNRESET
error--http://banshi.beijing.gov.cn/pubtask/frfw.html?locationCode=110115000000  http://banshi.beijing.gov.cn
read ECONNRESET
error--http://banshi.beijing.gov.cn/pubtask/bmfw.html?locationCode=110115000000  http://banshi.beijing.gov.cn
read ECONNRESET
error--http://bszs.conac.cn/sitename?method=show&id=106CF349D2BA7FE3E053012819AC5D69  http://bszs.conac.cn
read ECONNRESET
error--http://www.beijing.gov.cn/  http://www.beijing.gov.cn
read ECONNRESET
error--http://sjswd.bjsjs.gov.cn/sjsrobot/  http://sjswd.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/index_big5.shtml  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/index.shtml  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/gongkai/slh/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/inc/mobile.shtml  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://english.bjsjs.gov.cn/  http://english.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/ywdt/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/ywdt/sjsdt/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/gongkai/zwgkpd/bmdt_1937/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/ywdt/mtbd/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/gongkai/zwgkpd/jieddt/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/gongkai/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/gongkai/zwgkpd/ldjs_1946/zfbm_1951/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/gongkai/zwgkpd/jgzn_1953/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/gongkai/zwgkpd/zdly_1960/rsxx_1961/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://www.bjsjs.gov.cn/gongkai/zwgkpd/ztzl/2022/zcml/  http://www.bjsjs.gov.cn
read ECONNRESET
error--http://1.85.55.226/fwzx/cyfw/scztList.chtml?p=1&id=zMba2q  http://1.85.55.226
read ECONNRESET
error--http://1.85.55.226/fwzx/cyfw/xwqyList.chtml?p=1&id=uQNvIn  http://1.85.55.226
read ECONNRESET
error--http://1.85.55.226/fwzx/pxfw/pxfw.chtml?trainType=10304  http://1.85.55.226
read ECONNRESET
error--http://1.85.55.226/fwzx/pxfw/pxfw.chtml?trainType=10303  http://1.85.55.226
read ECONNRESET
error--http://1.85.55.226/fwzx/pxfw/pxfw.chtml?trainType=10302  http://1.85.55.226
read ECONNRESET
error--http://1.85.55.226:81/web.files//uploadfile//2019-04-24/20190424034306165.docx  http://1.85.55.226:81
read ECONNRESET
error--http://1.85.55.226:81/web.files//uploadfile//2019-04-17/20190417113118979.docx  http://1.85.55.226:81
read ECONNRESET
error--http://1.85.55.226:81/web.files//uploadfile//2019-04-16/20190416030254087.doc  http://1.85.55.226:81
read ECONNRESET
error--http://1.85.55.226:81/web.files//uploadfile//2019-04-16/20190416025737643.docx  http://1.85.55.226:81
read ECONNRESET
error--http://1.85.55.226:81/web.files//uploadfile//2019-04-11/20190411035952941.xls  http://1.85.55.226:81
read ECONNRESET
error--http://1.85.55.226:81/web.files//uploadfile//2019-04-11/20190411035857047.xls  http://1.85.55.226:81
read ECONNRESET
error--http://113.140.67.203:1284/  http://113.140.67.203:1284
connect ETIMEDOUT 113.140.67.203:1284
error--http://219.145.88.4:7015/login.do?method=login_all  http://219.145.88.4:7015
connect ETIMEDOUT 219.145.88.4:7015
error--http://111.20.61.213:7001/xxsb/  http://111.20.61.213:7001
connect ETIMEDOUT 111.20.61.213:7001
error--http://sn.gsxt.gov.cn/index.html  http://sn.gsxt.gov.cn
read ECONNRESET
error--http://sn.gsxt.gov.cn/corp-query-entprise-info-xxgg-610000.html  http://sn.gsxt.gov.cn
read ECONNRESET
error--http://service.weibo.com/share/share.php?url=http://www.hangzhou.gov.cn/art/2021/8/31/art_1229563744_7276.html&title=%E6%9D%AD%E5%B7%9E%E5%B8%82%E4%BA%BA%E6%B0%91%E6%94%BF%E5%BA%9C%E5%8A%9E%E5%85%AC%E5%8E%85%20%E5%85%B3%E4%BA%8E%E8%BF%9B%E4%B8%80%E6%AD%A5%E6%B7%B1%E5%8C%96%E5%95%86%E4%BA%8B%E5%88%B6%E5%BA%A6%E6%94%B9%E9%9D%A9%20%E6%BF%80%E5%8F%91%E5%B8%82%E5%9C%BA%E4%B8%BB%E4%BD%93%E6%B4%BB%E5%8A%9B%E7%9A%84%E8%8B%A5%E5%B9%B2%E6%84%8F%E8%A7%81&pic=https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web149/site/picture/40/2106251835553854495.jpg&appkey=  http://service.weibo.com
read ECONNRESET
error--http://data.tjj.zj.gov.cn/page/tjData/tjData.jsp?index=2&orgCode=33  http://data.tjj.zj.gov.cn
read ECONNRESET
error--http://data.tjj.zj.gov.cn/page/systemmanager/admin/homePage.jsp?orgCode=33  http://data.tjj.zj.gov.cn
